Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.100,2743.073,2743.073,2743.073,2743.073,2743.073,2743.073,2743.073,2743.073,2743.073,0.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.100,2753.373,2753.373,2753.373,2753.373,2753.373,2753.373,2753.373,2753.373,2753.373,0.000
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,0.100,7970.866,7970.866,7970.866,7970.866,7970.866,7970.866,7970.866,7970.866,7970.866,0.000
60,0.200,5245.351,2846.243,2846.243,7644.459,7644.459,7644.459,7644.459,7644.459,7644.459,0.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
90,0.100,2646.423,2646.423,2646.423,2646.423,2646.423,2646.423,2646.423,2646.423,2646.423,0.000
100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.100,7981.050,7981.050,7981.050,7981.050,7981.050,7981.050,7981.050,7981.050,7981.050,0.000
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.200,5217.282,2692.006,2692.006,7742.558,7742.558,7742.558,7742.558,7742.558,7742.558,0.000
160,0.200,5352.825,2643.147,2643.147,8062.502,8062.502,8062.502,8062.502,8062.502,8062.502,0.000
170,0.200,8201.103,8087.162,8087.162,8315.043,8315.043,8315.043,8315.043,8315.043,8315.043,0.000
180,0.100,7578.941,7578.941,7578.941,7578.941,7578.941,7578.941,7578.941,7578.941,7578.941,0.000
190,0.200,2919.578,2891.160,2891.160,2947.996,2947.996,2947.996,2947.996,2947.996,2947.996,0.000
200,0.100,2862.732,2862.732,2862.732,2862.732,2862.732,2862.732,2862.732,2862.732,2862.732,0.000
210,0.200,5133.046,2960.756,2960.756,7305.335,7305.335,7305.335,7305.335,7305.335,7305.335,0.000
220,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
230,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
240,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
290,0.200,5422.723,2775.600,2775.600,8069.845,8069.845,8069.845,8069.845,8069.845,8069.845,0.000
300,0.100,8030.774,8030.774,8030.774,8030.774,8030.774,8030.774,8030.774,8030.774,8030.774,0.000
310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
320,0.100,7935.942,7935.942,7935.942,7935.942,7935.942,7935.942,7935.942,7935.942,7935.942,0.000
330,0.100,2672.339,2672.339,2672.339,2672.339,2672.339,2672.339,2672.339,2672.339,2672.339,0.000
340,0.300,2956.256,2913.798,2913.798,2975.745,2979.225,2979.225,2979.225,2979.225,2979.225,0.000
350,0.100,2666.660,2666.660,2666.660,2666.660,2666.660,2666.660,2666.660,2666.660,2666.660,0.000
360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
390,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
