Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.500,6783.836,821.973,1536.318,4486.371,12133.594,20384.672,22824.630,22824.630,22824.630,0.000
10,0.700,7143.395,544.432,2054.485,3947.331,10754.094,23096.828,23096.828,23096.828,23096.828,0.000
20,1.400,4813.829,340.372,1099.988,5325.306,7482.158,11237.252,11436.690,11436.690,11436.690,0.000
30,1.200,9115.328,573.110,2753.373,4033.110,9928.046,12264.839,60386.099,60386.099,60386.099,0.000
40,1.500,10610.070,569.151,1504.571,3361.855,5324.962,56490.061,59407.794,59407.794,59407.794,0.000
50,1.100,9289.438,818.257,1669.626,4215.481,9141.979,9742.914,55987.917,55987.917,55987.917,0.000
60,1.700,9078.187,547.875,1445.340,2771.123,5499.788,53115.522,60079.220,60079.220,60079.220,0.000
70,1.100,13588.496,337.459,942.225,1152.903,22377.430,54230.988,59898.617,59898.617,59898.617,0.000
80,0.300,4119.224,4093.688,4093.688,4115.240,4148.745,4148.745,4148.745,4148.745,4148.745,0.000
90,0.700,4158.052,364.241,1443.942,4007.924,5785.950,9761.986,9761.986,9761.986,9761.986,0.000
100,1.200,5785.819,572.158,3434.318,5637.950,9412.173,10366.862,12044.598,12044.598,12044.598,0.000
110,1.200,5798.552,346.735,3102.529,4284.331,5900.522,12099.618,22994.706,22994.706,22994.706,0.000
120,1.400,8958.540,823.870,1497.165,4252.946,10079.187,12038.708,60752.667,60752.667,60752.667,0.000
130,1.900,3954.889,353.456,1733.721,3452.227,6012.825,9051.041,10325.263,10325.263,10325.263,0.000
140,2.400,6293.357,349.075,2758.589,3330.932,5086.508,9911.729,10473.613,60729.412,60729.412,0.000
150,2.200,6839.371,331.915,1136.810,3457.918,7754.220,10535.125,11726.020,60084.077,60084.077,0.000
160,1.300,7378.522,370.236,1175.344,2761.735,4963.673,10496.619,54210.731,54210.731,54210.731,0.000
170,1.500,4455.593,361.112,1085.785,4207.244,7288.570,8315.043,11760.658,11760.658,11760.658,0.000
180,1.300,4531.499,342.205,828.465,3233.103,7578.941,11219.634,11253.563,11253.563,11253.563,0.000
190,1.700,7283.613,350.174,2891.160,3852.584,5390.752,11625.157,53543.042,53543.042,53543.042,0.000
200,1.400,3955.573,350.590,1636.455,3916.363,5840.744,8011.981,9348.146,9348.146,9348.146,0.000
210,1.800,8106.225,366.814,2748.582,4992.143,7861.042,11206.175,60878.798,60878.798,60878.798,0.000
220,1.500,6121.058,350.930,1226.586,4873.650,11088.239,11842.041,12246.963,12246.963,12246.963,0.000
230,1.900,7499.005,345.288,983.213,2786.636,12178.068,23128.782,53991.396,53991.396,53991.396,0.000
240,1.500,5013.209,823.156,1997.530,4022.655,7467.747,11455.670,12252.014,12252.014,12252.014,0.000
250,1.000,13226.613,989.351,1521.692,5185.126,7263.294,53261.087,53261.087,53261.087,53261.087,0.000
260,1.700,3653.783,337.001,549.340,2764.165,5594.416,9634.876,11103.628,11103.628,11103.628,0.000
270,2.100,5845.350,331.877,575.130,2747.722,4997.518,9309.484,9981.691,60092.088,60092.088,0.000
280,1.500,5341.503,333.372,1087.915,3509.185,7481.331,12154.329,23180.606,23180.606,23180.606,0.000
290,1.500,5040.119,346.907,519.709,2775.600,8069.845,11836.851,20124.503,20124.503,20124.503,0.000
300,1.300,7543.985,830.312,1185.182,4457.525,10467.031,20718.187,23565.853,23565.853,23565.853,0.000
310,1.200,4123.410,833.882,2029.196,2758.239,5935.444,9412.897,12086.096,12086.096,12086.096,0.000
320,2.000,5900.696,356.770,2770.502,5121.732,7935.942,12111.711,20162.906,20162.906,20162.906,0.000
330,1.900,6578.515,842.506,1193.044,3213.158,5382.905,10545.010,60561.366,60561.366,60561.366,0.000
340,2.200,4260.980,358.257,1448.593,3414.845,5214.495,9287.736,10266.688,20085.072,20085.072,0.000
350,1.600,5599.154,1121.572,2759.402,5832.099,9064.053,11102.369,12656.035,12656.035,12656.035,0.000
