Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2,2.000,4486371,4486371,4651202,4568786,4651202,4651202,4651202,4651202,4651202
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,1.000,22824630,22824630,22824630,22824630,22824630,22824630,22824630,22824630,22824630
3,1,1.000,2743073,2743073,2743073,2743073,2743073,2743073,2743073,2743073,2743073
4,2,2.000,5496394,5496394,5808634,5652514,5808634,5808634,5808634,5808634,5808634
5,1,1.000,1111683,1111683,1111683,1111683,1111683,1111683,1111683,1111683,1111683
6,3,3.000,1536318,1536318,2786483,5485465,12133594,12133594,12133594,12133594,12133594
7,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,2,2.000,821973,821973,12207073,6514523,12207073,12207073,12207073,12207073,12207073
9,3,3.000,826510,826510,3938937,8383373,20384672,20384672,20384672,20384672,20384672
10,2,2.000,10754094,10754094,23096828,16925461,23096828,23096828,23096828,23096828,23096828
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,1,1.000,2107888,2107888,2107888,2107888,2107888,2107888,2107888,2107888,2107888
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,1,1.000,2054485,2054485,2054485,2054485,2054485,2054485,2054485,2054485,2054485
16,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,1,1.000,3947331,3947331,3947331,3947331,3947331,3947331,3947331,3947331,3947331
18,1,1.000,544432,544432,544432,544432,544432,544432,544432,544432,544432
19,1,1.000,7498708,7498708,7498708,7498708,7498708,7498708,7498708,7498708,7498708
20,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,3,3.000,1099988,1099988,5515166,4263569,6175555,6175555,6175555,6175555,6175555
22,1,1.000,5325306,5325306,5325306,5325306,5325306,5325306,5325306,5325306,5325306
23,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,1,1.000,7482158,7482158,7482158,7482158,7482158,7482158,7482158,7482158,7482158
26,2,2.000,552224,552224,2065227,1308725,2065227,2065227,2065227,2065227,2065227
27,4,4.000,348812,2041830,4537431,4541331,11237252,11237252,11237252,11237252,11237252
28,1,1.000,11436690,11436690,11436690,11436690,11436690,11436690,11436690,11436690,11436690
29,2,2.000,340372,340372,9235599,4787985,9235599,9235599,9235599,9235599,9235599
30,1,1.000,5360237,5360237,5360237,5360237,5360237,5360237,5360237,5360237,5360237
31,1,1.000,5901341,5901341,5901341,5901341,5901341,5901341,5901341,5901341,5901341
32,1,1.000,9928046,9928046,9928046,9928046,9928046,9928046,9928046,9928046,9928046
33,1,1.000,1034402,1034402,1034402,1034402,1034402,1034402,1034402,1034402,1034402
34,1,1.000,4033110,4033110,4033110,4033110,4033110,4033110,4033110,4033110,4033110
35,1,1.000,2787650,2787650,2787650,2787650,2787650,2787650,2787650,2787650,2787650
36,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,1,1.000,573110,573110,573110,573110,573110,573110,573110,573110,573110
38,5,5.000,1598950,2753373,2762776,15953207,12264839,60386099,60386099,60386099,60386099
39,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,3,3.000,1211763,1211763,5176315,3904346,5324962,5324962,5324962,5324962,5324962
41,2,2.000,5041384,5041384,56490061,30765722,56490061,56490061,56490061,56490061,56490061
42,1,1.000,2757348,2757348,2757348,2757348,2757348,2757348,2757348,2757348,2757348
43,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,2,2.000,1627575,1627575,1979799,1803687,1979799,1979799,1979799,1979799,1979799
46,3,3.000,569151,569151,3361855,21112933,59407794,59407794,59407794,59407794,59407794
47,2,2.000,1504571,1504571,4716932,3110751,4716932,4716932,4716932,4716932,4716932
48,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,2,2.000,824564,824564,9156979,4990771,9156979,9156979,9156979,9156979,9156979
50,3,3.000,1669626,1669626,9141979,22266507,55987917,55987917,55987917,55987917,55987917
51,1,1.000,9742914,9742914,9742914,9742914,9742914,9742914,9742914,9742914,9742914
52,1,1.000,818257,818257,818257,818257,818257,818257,818257,818257,818257
53,1,1.000,3519397,3519397,3519397,3519397,3519397,3519397,3519397,3519397,3519397
54,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,3,3.000,4215481,4215481,5018799,5735048,7970866,7970866,7970866,7970866,7970866
57,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,1,1.000,3264845,3264845,3264845,3264845,3264845,3264845,3264845,3264845,3264845
59,1,1.000,833741,833741,833741,833741,833741,833741,833741,833741,833741
60,2,2.000,911422,911422,1445340,1178381,1445340,1445340,1445340,1445340,1445340
61,5,5.000,821705,2846243,3452926,24063123,53115522,60079220,60079220,60079220,60079220
62,1,1.000,5499788,5499788,5499788,5499788,5499788,5499788,5499788,5499788,5499788
63,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,3,3.000,547875,547875,1622261,2688252,5894621,5894621,5894621,5894621,5894621
65,2,2.000,1629323,1629323,3393222,2511272,3393222,3393222,3393222,3393222,3393222
66,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,2,2.000,1008171,1008171,2771123,1889647,2771123,2771123,2771123,2771123,2771123
68,2,2.000,1645951,1645951,7644459,4645205,7644459,7644459,7644459,7644459,7644459
69,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,4,4.000,337459,536541,22377430,20787511,59898617,59898617,59898617,59898617,59898617
71,1,1.000,3892625,3892625,3892625,3892625,3892625,3892625,3892625,3892625,3892625
72,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
74,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,1,1.000,4028771,4028771,4028771,4028771,4028771,4028771,4028771,4028771,4028771
76,1,1.000,942225,942225,942225,942225,942225,942225,942225,942225,942225
77,1,1.000,1152903,1152903,1152903,1152903,1152903,1152903,1152903,1152903,1152903
78,1,1.000,973355,973355,973355,973355,973355,973355,973355,973355,973355
79,2,2.000,1102538,1102538,54230988,27666763,54230988,54230988,54230988,54230988,54230988
80,1,1.000,4093688,4093688,4093688,4093688,4093688,4093688,4093688,4093688,4093688
81,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,1,1.000,4148745,4148745,4148745,4148745,4148745,4148745,4148745,4148745,4148745
85,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,1,1.000,4115240,4115240,4115240,4115240,4115240,4115240,4115240,4115240,4115240
89,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,2,2.000,364241,364241,9761986,5063113,9761986,9761986,9761986,9761986,9761986
93,1,1.000,4007924,4007924,4007924,4007924,4007924,4007924,4007924,4007924,4007924
