Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.100,12309.379,12309.379,12309.379,12309.379,12309.379,12309.379,12309.379,12309.379,12309.379,0.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.100,4674.879,4674.879,4674.879,4674.879,4674.879,4674.879,4674.879,4674.879,4674.879,0.000
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.100,15186.692,15186.692,15186.692,15186.692,15186.692,15186.692,15186.692,15186.692,15186.692,0.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.100,4366.935,4366.935,4366.935,4366.935,4366.935,4366.935,4366.935,4366.935,4366.935,0.000
110,0.200,6080.373,4700.388,4700.388,7460.358,7460.358,7460.358,7460.358,7460.358,7460.358,0.000
120,0.200,10894.013,7559.980,7559.980,14228.045,14228.045,14228.045,14228.045,14228.045,14228.045,0.000
130,0.100,4202.245,4202.245,4202.245,4202.245,4202.245,4202.245,4202.245,4202.245,4202.245,0.000
140,0.100,4755.315,4755.315,4755.315,4755.315,4755.315,4755.315,4755.315,4755.315,4755.315,0.000
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.200,4703.221,4674.979,4674.979,4731.462,4731.462,4731.462,4731.462,4731.462,4731.462,0.000
170,0.200,4878.424,4694.060,4694.060,5062.787,5062.787,5062.787,5062.787,5062.787,5062.787,0.000
180,0.100,4442.221,4442.221,4442.221,4442.221,4442.221,4442.221,4442.221,4442.221,4442.221,0.000
190,0.100,4722.161,4722.161,4722.161,4722.161,4722.161,4722.161,4722.161,4722.161,4722.161,0.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.100,6606.936,6606.936,6606.936,6606.936,6606.936,6606.936,6606.936,6606.936,6606.936,0.000
220,0.100,5866.239,5866.239,5866.239,5866.239,5866.239,5866.239,5866.239,5866.239,5866.239,0.000
230,0.100,4165.222,4165.222,4165.222,4165.222,4165.222,4165.222,4165.222,4165.222,4165.222,0.000
240,0.200,5072.254,4287.534,4287.534,5856.973,5856.973,5856.973,5856.973,5856.973,5856.973,0.000
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
