Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.900,34287.976,4658.062,12309.379,23583.909,32775.961,85840.336,85840.336,85840.336,85840.336,0.000
10,0.500,23405.671,3364.648,5266.099,6396.100,19412.989,82588.517,82588.517,82588.517,82588.517,0.000
20,0.600,5472.663,1083.657,4116.396,5957.387,7530.800,8842.196,8842.196,8842.196,8842.196,0.000
30,1.900,3340.379,289.972,1810.206,2858.846,4395.073,8593.701,8648.083,8648.083,8648.083,0.000
40,2.200,8047.814,196.060,1649.505,2637.759,3173.037,18833.186,25540.316,84963.382,84963.382,0.000
50,0.900,13726.907,1498.873,3945.858,7595.362,28098.831,30921.014,30921.014,30921.014,30921.014,0.000
60,0.200,9313.014,3439.336,3439.336,15186.692,15186.692,15186.692,15186.692,15186.692,15186.692,0.000
70,0.300,10633.227,9884.920,9884.920,10696.106,11318.654,11318.654,11318.654,11318.654,11318.654,0.000
80,1.000,5209.396,1815.921,2379.987,4941.488,7901.196,8839.022,8839.022,8839.022,8839.022,0.000
90,1.300,9445.910,614.626,3079.367,7810.240,14382.104,21590.528,23222.883,23222.883,23222.883,0.000
100,0.900,16609.546,924.863,4366.935,6803.395,16888.052,78921.910,78921.910,78921.910,78921.910,0.000
110,1.100,5522.283,273.702,1538.405,2719.084,7460.358,7544.513,24758.791,24758.791,24758.791,0.000
120,1.200,7862.867,2639.188,4615.727,7057.466,8749.885,14228.045,19679.117,19679.117,19679.117,0.000
130,1.500,11555.677,715.928,1919.041,3085.885,9178.035,39897.135,77145.122,77145.122,77145.122,0.000
140,1.600,5190.682,564.265,2375.664,2872.725,8654.753,13663.569,18232.798,18232.798,18232.798,0.000
150,1.200,6448.850,288.684,1084.453,5283.369,8055.611,18832.670,24007.854,24007.854,24007.854,0.000
160,1.300,3592.617,1189.189,2043.578,2937.740,4731.462,6170.291,9632.976,9632.976,9632.976,0.000
170,2.000,8476.928,241.733,2036.480,3225.923,13812.974,38974.985,42100.094,42100.094,42100.094,0.000
180,1.000,9152.775,247.675,1572.960,4360.458,16116.266,31541.326,31541.326,31541.326,31541.326,0.000
190,0.900,8235.753,380.286,2831.781,4722.161,6539.124,32513.588,32513.588,32513.588,32513.588,0.000
200,0.700,6606.618,344.112,2097.239,3281.968,9421.777,23432.445,23432.445,23432.445,23432.445,0.000
210,1.900,10858.082,279.802,2087.430,4097.740,6606.936,45379.185,70310.441,70310.441,70310.441,0.000
220,1.700,8987.666,763.848,1858.347,2485.406,5755.988,23734.596,88633.764,88633.764,88633.764,0.000
230,1.600,5823.621,542.235,2154.314,2656.577,5847.347,7010.289,44108.499,44108.499,44108.499,0.000
240,1.100,5844.424,1805.771,2033.298,2895.097,5047.735,5856.973,31522.339,31522.339,31522.339,0.000
250,1.000,8416.026,182.213,3093.642,6741.136,13967.595,21877.059,21877.059,21877.059,21877.059,0.000
260,1.100,11931.916,194.895,990.847,2931.899,5670.528,27850.275,81162.301,81162.301,81162.301,0.000
270,1.100,8093.018,1480.370,2435.846,2811.521,7599.691,8031.802,48514.581,48514.581,48514.581,0.000
280,0.900,14425.255,2135.399,3048.835,7643.286,25426.343,39988.945,39988.945,39988.945,39988.945,0.000
290,0.500,7177.893,233.705,2141.034,6605.436,13334.139,13575.149,13575.149,13575.149,13575.149,0.000
300,0.900,4918.744,830.666,1476.342,3308.791,5103.621,16597.962,16597.962,16597.962,16597.962,0.000
310,0.800,11609.615,1946.779,5689.697,11134.239,24113.440,24331.631,24331.631,24331.631,24331.631,0.000
320,0.800,11803.248,1296.728,6008.454,9921.136,19783.231,29552.628,29552.628,29552.628,29552.628,0.000
330,0.900,12725.693,1169.231,6683.834,7780.143,22857.163,32168.944,32168.944,32168.944,32168.944,0.000
340,1.000,24296.393,540.116,1045.793,12681.648,46837.211,77442.880,77442.880,77442.880,77442.880,0.000
350,0.500,4519.402,1047.586,1385.142,4228.306,4485.089,11450.886,11450.886,11450.886,11450.886,0.000
360,1.200,14128.281,194.060,1958.464,5092.033,19745.206,38180.622,81605.022,81605.022,81605.022,0.000
370,1.000,8545.389,209.193,800.830,5721.558,7641.409,37336.240,37336.240,37336.240,37336.240,0.000
380,0.800,7935.343,793.094,1641.750,8388.922,17000.664,21164.664,21164.664,21164.664,21164.664,0.000
390,0.400,23518.583,2444.224,7146.819,42005.185,42478.105,42478.105,42478.105,42478.105,42478.105,0.000
