Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.100,15801.383,15801.383,15801.383,15801.383,15801.383,15801.383,15801.383,15801.383,15801.383,0.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.300,9989.473,6559.937,6559.937,7420.859,15987.624,15987.624,15987.624,15987.624,15987.624,0.000
40,0.100,4914.915,4914.915,4914.915,4914.915,4914.915,4914.915,4914.915,4914.915,4914.915,0.000
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.100,5741.355,5741.355,5741.355,5741.355,5741.355,5741.355,5741.355,5741.355,5741.355,0.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.100,10296.096,10296.096,10296.096,10296.096,10296.096,10296.096,10296.096,10296.096,10296.096,0.000
90,0.100,19039.390,19039.390,19039.390,19039.390,19039.390,19039.390,19039.390,19039.390,19039.390,0.000
100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
110,0.200,7800.625,6511.699,6511.699,9089.550,9089.550,9089.550,9089.550,9089.550,9089.550,0.000
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.100,17180.795,17180.795,17180.795,17180.795,17180.795,17180.795,17180.795,17180.795,17180.795,0.000
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
220,0.100,9284.851,9284.851,9284.851,9284.851,9284.851,9284.851,9284.851,9284.851,9284.851,0.000
230,0.100,11332.939,11332.939,11332.939,11332.939,11332.939,11332.939,11332.939,11332.939,11332.939,0.000
240,0.200,9953.753,9781.944,9781.944,10125.562,10125.562,10125.562,10125.562,10125.562,10125.562,0.000
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
260,0.100,10001.988,10001.988,10001.988,10001.988,10001.988,10001.988,10001.988,10001.988,10001.988,0.000
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,0.100,17815.715,17815.715,17815.715,17815.715,17815.715,17815.715,17815.715,17815.715,17815.715,0.000
290,0.200,6413.902,6156.385,6156.385,6671.418,6671.418,6671.418,6671.418,6671.418,6671.418,0.000
300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
330,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
340,0.100,17638.916,17638.916,17638.916,17638.916,17638.916,17638.916,17638.916,17638.916,17638.916,0.000
350,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
390,0.200,8463.802,7475.530,7475.530,9452.074,9452.074,9452.074,9452.074,9452.074,9452.074,0.000
400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.100,5506.999,5506.999,5506.999,5506.999,5506.999,5506.999,5506.999,5506.999,5506.999,0.000
420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
430,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
440,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
450,0.200,6548.750,6506.624,6506.624,6590.876,6590.876,6590.876,6590.876,6590.876,6590.876,0.000
460,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
470,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
480,0.100,6388.924,6388.924,6388.924,6388.924,6388.924,6388.924,6388.924,6388.924,6388.924,0.000
490,0.100,16977.438,16977.438,16977.438,16977.438,16977.438,16977.438,16977.438,16977.438,16977.438,0.000
500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
510,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
520,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
530,0.100,17951.429,17951.429,17951.429,17951.429,17951.429,17951.429,17951.429,17951.429,17951.429,0.000
540,0.100,8560.647,8560.647,8560.647,8560.647,8560.647,8560.647,8560.647,8560.647,8560.647,0.000
