Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.100,3574.924,3574.924,3574.924,3574.924,3574.924,3574.924,3574.924,3574.924,3574.924,0.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.100,1584.769,1584.769,1584.769,1584.769,1584.769,1584.769,1584.769,1584.769,1584.769,0.001
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.100,2503.034,2503.034,2503.034,2503.034,2503.034,2503.034,2503.034,2503.034,2503.034,0.000
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.200,1853.190,1843.559,1843.559,1862.820,1862.820,1862.820,1862.820,1862.820,1862.820,0.001
220,0.200,1626.210,1605.517,1605.517,1646.903,1646.903,1646.903,1646.903,1646.903,1646.903,0.001
230,0.200,3388.923,2421.665,2421.665,4356.181,4356.181,4356.181,4356.181,4356.181,4356.181,0.000
240,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,0.100,4869.289,4869.289,4869.289,4869.289,4869.289,4869.289,4869.289,4869.289,4869.289,0.000
290,0.200,3736.082,2338.174,2338.174,5133.989,5133.989,5133.989,5133.989,5133.989,5133.989,0.000
300,0.200,3335.799,1831.621,1831.621,4839.977,4839.977,4839.977,4839.977,4839.977,4839.977,0.000
310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
330,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
340,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
350,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
360,0.100,1634.274,1634.274,1634.274,1634.274,1634.274,1634.274,1634.274,1634.274,1634.274,0.001
370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
390,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
400,0.100,2235.559,2235.559,2235.559,2235.559,2235.559,2235.559,2235.559,2235.559,2235.559,0.000
410,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
430,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
440,0.200,1950.100,1782.694,1782.694,2117.505,2117.505,2117.505,2117.505,2117.505,2117.505,0.001
450,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
460,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
470,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
480,0.100,5142.164,5142.164,5142.164,5142.164,5142.164,5142.164,5142.164,5142.164,5142.164,0.000
490,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
510,0.200,3193.991,2968.026,2968.026,3419.955,3419.955,3419.955,3419.955,3419.955,3419.955,0.000
520,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
530,0.100,2724.871,2724.871,2724.871,2724.871,2724.871,2724.871,2724.871,2724.871,2724.871,0.000
540,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
550,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
560,0.200,2241.164,1639.407,1639.407,2842.921,2842.921,2842.921,2842.921,2842.921,2842.921,0.000
570,0.200,2092.929,1974.622,1974.622,2211.235,2211.235,2211.235,2211.235,2211.235,2211.235,0.000
580,0.100,2836.959,2836.959,2836.959,2836.959,2836.959,2836.959,2836.959,2836.959,2836.959,0.000
590,0.200,3320.676,2343.296,2343.296,4298.055,4298.055,4298.055,4298.055,4298.055,4298.055,0.000
600,0.200,1728.069,1648.226,1648.226,1807.912,1807.912,1807.912,1807.912,1807.912,1807.912,0.001
610,0.200,1479.950,1349.173,1349.173,1610.726,1610.726,1610.726,1610.726,1610.726,1610.726,0.001
620,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
630,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
640,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
650,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
660,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
670,0.100,2040.953,2040.953,2040.953,2040.953,2040.953,2040.953,2040.953,2040.953,2040.953,0.000
680,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
690,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
700,0.100,1996.799,1996.799,1996.799,1996.799,1996.799,1996.799,1996.799,1996.799,1996.799,0.001
710,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
720,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
730,0.100,2549.720,2549.720,2549.720,2549.720,2549.720,2549.720,2549.720,2549.720,2549.720,0.000
740,0.200,3392.397,2180.447,2180.447,4604.346,4604.346,4604.346,4604.346,4604.346,4604.346,0.000
750,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
760,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
770,0.100,4527.180,4527.180,4527.180,4527.180,4527.180,4527.180,4527.180,4527.180,4527.180,0.000
780,0.300,2728.256,1681.432,1681.432,2185.850,4317.486,4317.486,4317.486,4317.486,4317.486,0.000
790,0.100,2395.707,2395.707,2395.707,2395.707,2395.707,2395.707,2395.707,2395.707,2395.707,0.000
800,0.100,2175.208,2175.208,2175.208,2175.208,2175.208,2175.208,2175.208,2175.208,2175.208,0.000
810,0.100,1747.671,1747.671,1747.671,1747.671,1747.671,1747.671,1747.671,1747.671,1747.671,0.001
820,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
830,0.200,2146.209,1656.864,1656.864,2635.554,2635.554,2635.554,2635.554,2635.554,2635.554,0.000
840,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
850,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
860,0.100,2136.123,2136.123,2136.123,2136.123,2136.123,2136.123,2136.123,2136.123,2136.123,0.000
870,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
880,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
890,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
900,0.100,4114.876,4114.876,4114.876,4114.876,4114.876,4114.876,4114.876,4114.876,4114.876,0.000
910,0.100,1615.341,1615.341,1615.341,1615.341,1615.341,1615.341,1615.341,1615.341,1615.341,0.001
920,0.100,3201.154,3201.154,3201.154,3201.154,3201.154,3201.154,3201.154,3201.154,3201.154,0.000
930,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
940,0.100,2254.639,2254.639,2254.639,2254.639,2254.639,2254.639,2254.639,2254.639,2254.639,0.000
950,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
960,0.100,2805.948,2805.948,2805.948,2805.948,2805.948,2805.948,2805.948,2805.948,2805.948,0.000
970,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
980,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
990,0.200,4421.481,2810.392,2810.392,6032.569,6032.569,6032.569,6032.569,6032.569,6032.569,0.000
1000,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1010,0.100,2738.818,2738.818,2738.818,2738.818,2738.818,2738.818,2738.818,2738.818,2738.818,0.000
1020,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1030,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1040,0.100,1919.299,1919.299,1919.299,1919.299,1919.299,1919.299,1919.299,1919.299,1919.299,0.001
1050,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1060,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1070,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1080,0.100,4233.923,4233.923,4233.923,4233.923,4233.923,4233.923,4233.923,4233.923,4233.923,0.000
1090,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1110,0.100,1718.630,1718.630,1718.630,1718.630,1718.630,1718.630,1718.630,1718.630,1718.630,0.001
1120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1140,0.300,2109.647,1747.900,1747.900,1997.469,2583.573,2583.573,2583.573,2583.573,2583.573,0.000
1150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1160,0.100,4967.987,4967.987,4967.987,4967.987,4967.987,4967.987,4967.987,4967.987,4967.987,0.000
1170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1180,0.100,5687.382,5687.382,5687.382,5687.382,5687.382,5687.382,5687.382,5687.382,5687.382,0.000
1190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1200,0.200,4124.300,3875.950,3875.950,4372.650,4372.650,4372.650,4372.650,4372.650,4372.650,0.000
1210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1220,0.100,3651.583,3651.583,3651.583,3651.583,3651.583,3651.583,3651.583,3651.583,3651.583,0.000
1230,0.200,3760.154,3258.693,3258.693,4261.615,4261.615,4261.615,4261.615,4261.615,4261.615,0.000
1240,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1250,0.100,2428.934,2428.934,2428.934,2428.934,2428.934,2428.934,2428.934,2428.934,2428.934,0.000
1260,0.100,2550.009,2550.009,2550.009,2550.009,2550.009,2550.009,2550.009,2550.009,2550.009,0.000
1270,0.100,3176.173,3176.173,3176.173,3176.173,3176.173,3176.173,3176.173,3176.173,3176.173,0.000
1280,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1290,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1330,0.100,2408.732,2408.732,2408.732,2408.732,2408.732,2408.732,2408.732,2408.732,2408.732,0.000
1340,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1350,0.100,4862.674,4862.674,4862.674,4862.674,4862.674,4862.674,4862.674,4862.674,4862.674,0.000
1360,0.100,2277.145,2277.145,2277.145,2277.145,2277.145,2277.145,2277.145,2277.145,2277.145,0.000
1370,0.100,2521.109,2521.109,2521.109,2521.109,2521.109,2521.109,2521.109,2521.109,2521.109,0.000
1380,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1390,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1410,0.200,3600.638,3056.623,3056.623,4144.653,4144.653,4144.653,4144.653,4144.653,4144.653,0.000
1420,0.100,4308.468,4308.468,4308.468,4308.468,4308.468,4308.468,4308.468,4308.468,4308.468,0.000
1430,0.100,2854.693,2854.693,2854.693,2854.693,2854.693,2854.693,2854.693,2854.693,2854.693,0.000
1440,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1450,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1460,0.100,5875.979,5875.979,5875.979,5875.979,5875.979,5875.979,5875.979,5875.979,5875.979,0.000
1470,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1480,0.200,4772.879,3405.024,3405.024,6140.734,6140.734,6140.734,6140.734,6140.734,6140.734,0.000
1490,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1510,0.100,2587.144,2587.144,2587.144,2587.144,2587.144,2587.144,2587.144,2587.144,2587.144,0.000
1520,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1530,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1540,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1550,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1560,0.200,3395.342,1915.739,1915.739,4874.944,4874.944,4874.944,4874.944,4874.944,4874.944,0.000
1570,0.200,2188.261,2176.789,2176.789,2199.732,2199.732,2199.732,2199.732,2199.732,2199.732,0.000
1580,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1590,0.100,3768.979,3768.979,3768.979,3768.979,3768.979,3768.979,3768.979,3768.979,3768.979,0.000
1600,0.100,3332.117,3332.117,3332.117,3332.117,3332.117,3332.117,3332.117,3332.117,3332.117,0.000
1610,0.200,3360.713,2827.854,2827.854,3893.572,3893.572,3893.572,3893.572,3893.572,3893.572,0.000
1620,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1630,0.200,2243.900,1606.346,1606.346,2881.453,2881.453,2881.453,2881.453,2881.453,2881.453,0.000
1640,0.200,1816.479,1573.482,1573.482,2059.476,2059.476,2059.476,2059.476,2059.476,2059.476,0.001
1650,0.100,2514.580,2514.580,2514.580,2514.580,2514.580,2514.580,2514.580,2514.580,2514.580,0.000
1660,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1670,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1680,0.200,2153.067,1996.486,1996.486,2309.648,2309.648,2309.648,2309.648,2309.648,2309.648,0.000
1690,0.100,1616.129,1616.129,1616.129,1616.129,1616.129,1616.129,1616.129,1616.129,1616.129,0.001
1700,0.200,2678.715,1509.039,1509.039,3848.390,3848.390,3848.390,3848.390,3848.390,3848.390,0.000
1710,0.100,2830.619,2830.619,2830.619,2830.619,2830.619,2830.619,2830.619,2830.619,2830.619,0.000
1720,0.100,2690.466,2690.466,2690.466,2690.466,2690.466,2690.466,2690.466,2690.466,2690.466,0.000
1730,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1740,0.100,2950.372,2950.372,2950.372,2950.372,2950.372,2950.372,2950.372,2950.372,2950.372,0.000
1750,0.100,5627.962,5627.962,5627.962,5627.962,5627.962,5627.962,5627.962,5627.962,5627.962,0.000
1760,0.100,1704.745,1704.745,1704.745,1704.745,1704.745,1704.745,1704.745,1704.745,1704.745,0.001
1770,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1780,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
