Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.200,1724.025,1720.487,1720.487,1727.562,1727.562,1727.562,1727.562,1727.562,1727.562,0.001
40,0.100,1849.018,1849.018,1849.018,1849.018,1849.018,1849.018,1849.018,1849.018,1849.018,0.001
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.200,1641.681,1582.020,1582.020,1701.341,1701.341,1701.341,1701.341,1701.341,1701.341,0.001
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.100,1638.163,1638.163,1638.163,1638.163,1638.163,1638.163,1638.163,1638.163,1638.163,0.001
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.100,1851.939,1851.939,1851.939,1851.939,1851.939,1851.939,1851.939,1851.939,1851.939,0.001
110,0.100,1171.187,1171.187,1171.187,1171.187,1171.187,1171.187,1171.187,1171.187,1171.187,0.001
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
140,0.400,1847.459,1011.020,1288.954,1721.261,3368.601,3368.601,3368.601,3368.601,3368.601,0.001
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.200,2188.501,951.186,951.186,3425.816,3425.816,3425.816,3425.816,3425.816,3425.816,0.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.200,2093.985,1745.637,1745.637,2442.333,2442.333,2442.333,2442.333,2442.333,2442.333,0.000
220,0.300,2465.849,1221.474,1221.474,2696.515,3479.557,3479.557,3479.557,3479.557,3479.557,0.000
230,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
240,0.200,1793.489,1737.408,1737.408,1849.570,1849.570,1849.570,1849.570,1849.570,1849.570,0.001
250,0.100,3460.303,3460.303,3460.303,3460.303,3460.303,3460.303,3460.303,3460.303,3460.303,0.000
260,0.400,1922.454,1764.205,1815.575,1931.736,2178.301,2178.301,2178.301,2178.301,2178.301,0.001
270,0.100,1711.946,1711.946,1711.946,1711.946,1711.946,1711.946,1711.946,1711.946,1711.946,0.001
280,0.100,2599.296,2599.296,2599.296,2599.296,2599.296,2599.296,2599.296,2599.296,2599.296,0.000
290,0.100,1844.304,1844.304,1844.304,1844.304,1844.304,1844.304,1844.304,1844.304,1844.304,0.001
300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
310,0.100,1842.859,1842.859,1842.859,1842.859,1842.859,1842.859,1842.859,1842.859,1842.859,0.001
320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
330,0.100,3483.238,3483.238,3483.238,3483.238,3483.238,3483.238,3483.238,3483.238,3483.238,0.000
340,0.200,3420.858,3375.174,3375.174,3466.541,3466.541,3466.541,3466.541,3466.541,3466.541,0.000
350,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
370,0.100,3485.923,3485.923,3485.923,3485.923,3485.923,3485.923,3485.923,3485.923,3485.923,0.000
380,0.200,1633.099,1418.363,1418.363,1847.835,1847.835,1847.835,1847.835,1847.835,1847.835,0.001
390,0.100,1733.988,1733.988,1733.988,1733.988,1733.988,1733.988,1733.988,1733.988,1733.988,0.001
400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.100,1822.137,1822.137,1822.137,1822.137,1822.137,1822.137,1822.137,1822.137,1822.137,0.001
420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
430,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
440,0.100,1832.925,1832.925,1832.925,1832.925,1832.925,1832.925,1832.925,1832.925,1832.925,0.001
450,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
460,0.200,2276.830,1855.142,1855.142,2698.517,2698.517,2698.517,2698.517,2698.517,2698.517,0.000
470,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
480,0.300,2643.861,1812.402,1812.402,2701.348,3417.832,3417.832,3417.832,3417.832,3417.832,0.000
490,0.100,1661.586,1661.586,1661.586,1661.586,1661.586,1661.586,1661.586,1661.586,1661.586,0.001
500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
510,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
520,0.200,2634.974,1838.558,1838.558,3431.390,3431.390,3431.390,3431.390,3431.390,3431.390,0.000
530,0.200,1811.980,1788.218,1788.218,1835.742,1835.742,1835.742,1835.742,1835.742,1835.742,0.001
540,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
550,0.200,1547.623,1243.237,1243.237,1852.008,1852.008,1852.008,1852.008,1852.008,1852.008,0.001
560,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
570,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
580,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
590,0.100,1680.928,1680.928,1680.928,1680.928,1680.928,1680.928,1680.928,1680.928,1680.928,0.001
600,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
610,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
620,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
630,0.100,3083.512,3083.512,3083.512,3083.512,3083.512,3083.512,3083.512,3083.512,3083.512,0.000
640,0.200,2632.151,1820.108,1820.108,3444.193,3444.193,3444.193,3444.193,3444.193,3444.193,0.000
650,0.400,3246.881,3003.007,3038.343,3456.188,3489.987,3489.987,3489.987,3489.987,3489.987,0.000
660,0.100,1961.549,1961.549,1961.549,1961.549,1961.549,1961.549,1961.549,1961.549,1961.549,0.001
670,0.100,1167.119,1167.119,1167.119,1167.119,1167.119,1167.119,1167.119,1167.119,1167.119,0.001
680,0.100,884.119,884.119,884.119,884.119,884.119,884.119,884.119,884.119,884.119,0.001
690,0.100,1837.456,1837.456,1837.456,1837.456,1837.456,1837.456,1837.456,1837.456,1837.456,0.001
700,0.200,2470.659,2410.997,2410.997,2530.321,2530.321,2530.321,2530.321,2530.321,2530.321,0.000
710,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
720,0.100,534.277,534.277,534.277,534.277,534.277,534.277,534.277,534.277,534.277,0.002
730,0.200,1398.627,925.728,925.728,1871.526,1871.526,1871.526,1871.526,1871.526,1871.526,0.001
740,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
750,0.200,1841.811,1834.075,1834.075,1849.547,1849.547,1849.547,1849.547,1849.547,1849.547,0.001
760,0.200,3485.771,3479.446,3479.446,3492.095,3492.095,3492.095,3492.095,3492.095,3492.095,0.000
770,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
780,0.100,694.014,694.014,694.014,694.014,694.014,694.014,694.014,694.014,694.014,0.001
790,0.100,1786.132,1786.132,1786.132,1786.132,1786.132,1786.132,1786.132,1786.132,1786.132,0.001
800,0.100,2086.435,2086.435,2086.435,2086.435,2086.435,2086.435,2086.435,2086.435,2086.435,0.000
810,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
820,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
830,0.200,1178.725,685.718,685.718,1671.732,1671.732,1671.732,1671.732,1671.732,1671.732,0.001
840,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
850,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
860,0.100,1988.185,1988.185,1988.185,1988.185,1988.185,1988.185,1988.185,1988.185,1988.185,0.001
870,0.200,2317.038,1199.617,1199.617,3434.459,3434.459,3434.459,3434.459,3434.459,3434.459,0.000
880,0.200,1947.453,548.526,548.526,3346.380,3346.380,3346.380,3346.380,3346.380,3346.380,0.001
890,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
900,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
910,0.200,2581.576,1690.517,1690.517,3472.634,3472.634,3472.634,3472.634,3472.634,3472.634,0.000
920,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
930,0.100,1282.938,1282.938,1282.938,1282.938,1282.938,1282.938,1282.938,1282.938,1282.938,0.001
940,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
950,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
960,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
970,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
980,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
990,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1000,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1010,0.200,1009.060,838.360,838.360,1179.759,1179.759,1179.759,1179.759,1179.759,1179.759,0.001
1020,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1030,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1040,0.100,1170.825,1170.825,1170.825,1170.825,1170.825,1170.825,1170.825,1170.825,1170.825,0.001
1050,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1060,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1070,0.100,914.258,914.258,914.258,914.258,914.258,914.258,914.258,914.258,914.258,0.001
1080,0.100,1390.703,1390.703,1390.703,1390.703,1390.703,1390.703,1390.703,1390.703,1390.703,0.001
1090,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1100,0.200,1255.815,896.132,896.132,1615.497,1615.497,1615.497,1615.497,1615.497,1615.497,0.001
1110,0.100,1293.901,1293.901,1293.901,1293.901,1293.901,1293.901,1293.901,1293.901,1293.901,0.001
1120,0.100,1851.953,1851.953,1851.953,1851.953,1851.953,1851.953,1851.953,1851.953,1851.953,0.001
1130,0.200,1597.413,1365.603,1365.603,1829.223,1829.223,1829.223,1829.223,1829.223,1829.223,0.001
1140,0.200,1336.894,1331.577,1331.577,1342.211,1342.211,1342.211,1342.211,1342.211,1342.211,0.001
1150,0.100,1596.689,1596.689,1596.689,1596.689,1596.689,1596.689,1596.689,1596.689,1596.689,0.001
1160,0.200,868.449,432.949,432.949,1303.949,1303.949,1303.949,1303.949,1303.949,1303.949,0.001
1170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1190,0.100,1834.180,1834.180,1834.180,1834.180,1834.180,1834.180,1834.180,1834.180,1834.180,0.001
1200,0.100,1146.232,1146.232,1146.232,1146.232,1146.232,1146.232,1146.232,1146.232,1146.232,0.001
1210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1220,0.100,1299.382,1299.382,1299.382,1299.382,1299.382,1299.382,1299.382,1299.382,1299.382,0.001
1230,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1240,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1250,0.200,1165.810,881.251,881.251,1450.369,1450.369,1450.369,1450.369,1450.369,1450.369,0.001
1260,0.100,451.387,451.387,451.387,451.387,451.387,451.387,451.387,451.387,451.387,0.002
1270,0.100,541.464,541.464,541.464,541.464,541.464,541.464,541.464,541.464,541.464,0.002
1280,0.100,382.394,382.394,382.394,382.394,382.394,382.394,382.394,382.394,382.394,0.003
1290,0.100,366.406,366.406,366.406,366.406,366.406,366.406,366.406,366.406,366.406,0.003
1300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1320,0.100,1826.650,1826.650,1826.650,1826.650,1826.650,1826.650,1826.650,1826.650,1826.650,0.001
1330,0.100,864.751,864.751,864.751,864.751,864.751,864.751,864.751,864.751,864.751,0.001
1340,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1350,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1370,0.100,1295.135,1295.135,1295.135,1295.135,1295.135,1295.135,1295.135,1295.135,1295.135,0.001
1380,0.100,509.755,509.755,509.755,509.755,509.755,509.755,509.755,509.755,509.755,0.002
1390,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1410,0.300,1646.740,717.773,717.773,732.818,3489.630,3489.630,3489.630,3489.630,3489.630,0.001
1420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1430,0.100,438.413,438.413,438.413,438.413,438.413,438.413,438.413,438.413,438.413,0.002
1440,0.300,646.106,549.315,549.315,685.895,703.109,703.109,703.109,703.109,703.109,0.002
1450,0.100,1634.943,1634.943,1634.943,1634.943,1634.943,1634.943,1634.943,1634.943,1634.943,0.001
1460,0.100,859.751,859.751,859.751,859.751,859.751,859.751,859.751,859.751,859.751,0.001
1470,0.200,1320.197,886.903,886.903,1753.490,1753.490,1753.490,1753.490,1753.490,1753.490,0.001
1480,0.300,1351.120,1294.063,1294.063,1351.203,1408.094,1408.094,1408.094,1408.094,1408.094,0.001
1490,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1500,0.100,1455.399,1455.399,1455.399,1455.399,1455.399,1455.399,1455.399,1455.399,1455.399,0.001
1510,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1520,0.100,750.104,750.104,750.104,750.104,750.104,750.104,750.104,750.104,750.104,0.001
1530,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1540,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1550,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1560,0.100,2032.807,2032.807,2032.807,2032.807,2032.807,2032.807,2032.807,2032.807,2032.807,0.000
1570,0.200,839.694,822.403,822.403,856.985,856.985,856.985,856.985,856.985,856.985,0.001
1580,0.100,2467.095,2467.095,2467.095,2467.095,2467.095,2467.095,2467.095,2467.095,2467.095,0.000
1590,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1600,0.200,1355.576,1293.795,1293.795,1417.356,1417.356,1417.356,1417.356,1417.356,1417.356,0.001
1610,0.200,874.375,856.399,856.399,892.351,892.351,892.351,892.351,892.351,892.351,0.001
1620,0.100,873.753,873.753,873.753,873.753,873.753,873.753,873.753,873.753,873.753,0.001
1630,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1640,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1650,0.100,840.125,840.125,840.125,840.125,840.125,840.125,840.125,840.125,840.125,0.001
1660,0.100,1357.252,1357.252,1357.252,1357.252,1357.252,1357.252,1357.252,1357.252,1357.252,0.001
1670,0.100,389.951,389.951,389.951,389.951,389.951,389.951,389.951,389.951,389.951,0.003
1680,0.100,859.480,859.480,859.480,859.480,859.480,859.480,859.480,859.480,859.480,0.001
1690,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1700,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1710,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1720,0.200,1035.864,879.332,879.332,1192.396,1192.396,1192.396,1192.396,1192.396,1192.396,0.001
1730,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1740,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1750,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1760,0.300,1215.601,872.130,872.130,1352.212,1422.461,1422.461,1422.461,1422.461,1422.461,0.001
1770,0.100,1469.443,1469.443,1469.443,1469.443,1469.443,1469.443,1469.443,1469.443,1469.443,0.001
1780,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
