Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.100,10257.573,10257.573,10257.573,10257.573,10257.573,10257.573,10257.573,10257.573,10257.573,0.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.100,8809.051,8809.051,8809.051,8809.051,8809.051,8809.051,8809.051,8809.051,8809.051,0.000
50,0.100,7209.514,7209.514,7209.514,7209.514,7209.514,7209.514,7209.514,7209.514,7209.514,0.000
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
70,0.200,9816.874,9696.679,9696.679,9937.069,9937.069,9937.069,9937.069,9937.069,9937.069,0.000
80,0.100,10218.471,10218.471,10218.471,10218.471,10218.471,10218.471,10218.471,10218.471,10218.471,0.000
90,0.200,8508.520,7061.470,7061.470,9955.569,9955.569,9955.569,9955.569,9955.569,9955.569,0.000
100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
110,0.100,10525.277,10525.277,10525.277,10525.277,10525.277,10525.277,10525.277,10525.277,10525.277,0.000
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.100,8303.599,8303.599,8303.599,8303.599,8303.599,8303.599,8303.599,8303.599,8303.599,0.000
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.100,9482.298,9482.298,9482.298,9482.298,9482.298,9482.298,9482.298,9482.298,9482.298,0.000
170,0.100,7002.902,7002.902,7002.902,7002.902,7002.902,7002.902,7002.902,7002.902,7002.902,0.000
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
200,0.100,8715.399,8715.399,8715.399,8715.399,8715.399,8715.399,8715.399,8715.399,8715.399,0.000
210,0.100,7957.097,7957.097,7957.097,7957.097,7957.097,7957.097,7957.097,7957.097,7957.097,0.000
220,0.100,10123.416,10123.416,10123.416,10123.416,10123.416,10123.416,10123.416,10123.416,10123.416,0.000
230,0.100,9884.778,9884.778,9884.778,9884.778,9884.778,9884.778,9884.778,9884.778,9884.778,0.000
240,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
250,0.200,7707.408,6993.167,6993.167,8421.648,8421.648,8421.648,8421.648,8421.648,8421.648,0.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.100,6753.244,6753.244,6753.244,6753.244,6753.244,6753.244,6753.244,6753.244,6753.244,0.000
280,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
290,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
310,0.100,10456.211,10456.211,10456.211,10456.211,10456.211,10456.211,10456.211,10456.211,10456.211,0.000
320,0.100,7726.604,7726.604,7726.604,7726.604,7726.604,7726.604,7726.604,7726.604,7726.604,0.000
330,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
340,0.100,10192.823,10192.823,10192.823,10192.823,10192.823,10192.823,10192.823,10192.823,10192.823,0.000
350,0.100,8541.887,8541.887,8541.887,8541.887,8541.887,8541.887,8541.887,8541.887,8541.887,0.000
360,0.100,7588.003,7588.003,7588.003,7588.003,7588.003,7588.003,7588.003,7588.003,7588.003,0.000
370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
390,0.100,8831.261,8831.261,8831.261,8831.261,8831.261,8831.261,8831.261,8831.261,8831.261,0.000
400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.100,7944.792,7944.792,7944.792,7944.792,7944.792,7944.792,7944.792,7944.792,7944.792,0.000
420,0.200,9104.262,7973.062,7973.062,10235.462,10235.462,10235.462,10235.462,10235.462,10235.462,0.000
430,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
440,0.100,6924.442,6924.442,6924.442,6924.442,6924.442,6924.442,6924.442,6924.442,6924.442,0.000
450,0.100,7936.038,7936.038,7936.038,7936.038,7936.038,7936.038,7936.038,7936.038,7936.038,0.000
460,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
470,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
480,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
490,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
510,0.100,7783.362,7783.362,7783.362,7783.362,7783.362,7783.362,7783.362,7783.362,7783.362,0.000
520,0.200,8511.933,6960.978,6960.978,10062.888,10062.888,10062.888,10062.888,10062.888,10062.888,0.000
530,0.200,8463.066,6940.276,6940.276,9985.856,9985.856,9985.856,9985.856,9985.856,9985.856,0.000
540,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
550,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
560,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
570,0.200,9473.161,8853.954,8853.954,10092.368,10092.368,10092.368,10092.368,10092.368,10092.368,0.000
580,0.100,7281.807,7281.807,7281.807,7281.807,7281.807,7281.807,7281.807,7281.807,7281.807,0.000
590,0.100,7770.223,7770.223,7770.223,7770.223,7770.223,7770.223,7770.223,7770.223,7770.223,0.000
600,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
610,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
620,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
630,0.300,7771.614,7531.108,7531.108,7842.212,7941.522,7941.522,7941.522,7941.522,7941.522,0.000
640,0.200,10028.534,10014.264,10014.264,10042.803,10042.803,10042.803,10042.803,10042.803,10042.803,0.000
650,0.100,7143.748,7143.748,7143.748,7143.748,7143.748,7143.748,7143.748,7143.748,7143.748,0.000
660,0.100,7959.783,7959.783,7959.783,7959.783,7959.783,7959.783,7959.783,7959.783,7959.783,0.000
670,0.100,7207.369,7207.369,7207.369,7207.369,7207.369,7207.369,7207.369,7207.369,7207.369,0.000
680,0.200,7291.872,7008.724,7008.724,7575.020,7575.020,7575.020,7575.020,7575.020,7575.020,0.000
690,0.100,7913.956,7913.956,7913.956,7913.956,7913.956,7913.956,7913.956,7913.956,7913.956,0.000
700,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
710,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
720,0.300,7704.719,6955.881,6955.881,7515.912,8642.364,8642.364,8642.364,8642.364,8642.364,0.000
730,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
740,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
750,0.100,7222.831,7222.831,7222.831,7222.831,7222.831,7222.831,7222.831,7222.831,7222.831,0.000
760,0.100,7193.692,7193.692,7193.692,7193.692,7193.692,7193.692,7193.692,7193.692,7193.692,0.000
770,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
780,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
790,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
800,0.200,9871.763,9606.542,9606.542,10136.983,10136.983,10136.983,10136.983,10136.983,10136.983,0.000
810,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
820,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
830,0.200,8760.223,8330.362,8330.362,9190.083,9190.083,9190.083,9190.083,9190.083,9190.083,0.000
840,0.100,9505.935,9505.935,9505.935,9505.935,9505.935,9505.935,9505.935,9505.935,9505.935,0.000
850,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
860,0.100,7574.145,7574.145,7574.145,7574.145,7574.145,7574.145,7574.145,7574.145,7574.145,0.000
870,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
880,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
890,0.100,9664.642,9664.642,9664.642,9664.642,9664.642,9664.642,9664.642,9664.642,9664.642,0.000
900,0.100,8651.168,8651.168,8651.168,8651.168,8651.168,8651.168,8651.168,8651.168,8651.168,0.000
910,0.100,8450.435,8450.435,8450.435,8450.435,8450.435,8450.435,8450.435,8450.435,8450.435,0.000
920,0.200,10132.799,9253.675,9253.675,11011.922,11011.922,11011.922,11011.922,11011.922,11011.922,0.000
930,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
940,0.100,9953.305,9953.305,9953.305,9953.305,9953.305,9953.305,9953.305,9953.305,9953.305,0.000
950,0.200,8882.678,8127.796,8127.796,9637.560,9637.560,9637.560,9637.560,9637.560,9637.560,0.000
960,0.300,8645.413,7191.826,7191.826,7716.178,11028.236,11028.236,11028.236,11028.236,11028.236,0.000
970,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
980,0.200,7162.076,7130.527,7130.527,7193.624,7193.624,7193.624,7193.624,7193.624,7193.624,0.000
990,0.100,6953.056,6953.056,6953.056,6953.056,6953.056,6953.056,6953.056,6953.056,6953.056,0.000
1000,0.100,8539.637,8539.637,8539.637,8539.637,8539.637,8539.637,8539.637,8539.637,8539.637,0.000
1010,0.100,7347.460,7347.460,7347.460,7347.460,7347.460,7347.460,7347.460,7347.460,7347.460,0.000
1020,0.100,7152.290,7152.290,7152.290,7152.290,7152.290,7152.290,7152.290,7152.290,7152.290,0.000
1030,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1040,0.100,9267.187,9267.187,9267.187,9267.187,9267.187,9267.187,9267.187,9267.187,9267.187,0.000
1050,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1060,0.200,8332.997,7959.758,7959.758,8706.235,8706.235,8706.235,8706.235,8706.235,8706.235,0.000
1070,0.100,8529.973,8529.973,8529.973,8529.973,8529.973,8529.973,8529.973,8529.973,8529.973,0.000
1080,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1090,0.100,8739.692,8739.692,8739.692,8739.692,8739.692,8739.692,8739.692,8739.692,8739.692,0.000
1100,0.200,7313.889,7134.624,7134.624,7493.154,7493.154,7493.154,7493.154,7493.154,7493.154,0.000
1110,0.100,7042.185,7042.185,7042.185,7042.185,7042.185,7042.185,7042.185,7042.185,7042.185,0.000
1120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1130,0.100,10691.464,10691.464,10691.464,10691.464,10691.464,10691.464,10691.464,10691.464,10691.464,0.000
1140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1150,0.100,8443.912,8443.912,8443.912,8443.912,8443.912,8443.912,8443.912,8443.912,8443.912,0.000
1160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1170,0.200,7096.118,6955.039,6955.039,7237.197,7237.197,7237.197,7237.197,7237.197,7237.197,0.000
1180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1190,0.200,9711.589,8496.459,8496.459,10926.719,10926.719,10926.719,10926.719,10926.719,10926.719,0.000
1200,0.100,6929.359,6929.359,6929.359,6929.359,6929.359,6929.359,6929.359,6929.359,6929.359,0.000
1210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1220,0.100,7963.515,7963.515,7963.515,7963.515,7963.515,7963.515,7963.515,7963.515,7963.515,0.000
1230,0.100,10017.463,10017.463,10017.463,10017.463,10017.463,10017.463,10017.463,10017.463,10017.463,0.000
1240,0.200,9315.883,8356.256,8356.256,10275.509,10275.509,10275.509,10275.509,10275.509,10275.509,0.000
1250,0.200,8405.325,7114.492,7114.492,9696.158,9696.158,9696.158,9696.158,9696.158,9696.158,0.000
1260,0.100,7698.446,7698.446,7698.446,7698.446,7698.446,7698.446,7698.446,7698.446,7698.446,0.000
1270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1280,0.100,6748.527,6748.527,6748.527,6748.527,6748.527,6748.527,6748.527,6748.527,6748.527,0.000
1290,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1300,0.100,6920.702,6920.702,6920.702,6920.702,6920.702,6920.702,6920.702,6920.702,6920.702,0.000
1310,0.100,7900.432,7900.432,7900.432,7900.432,7900.432,7900.432,7900.432,7900.432,7900.432,0.000
1320,0.100,8054.399,8054.399,8054.399,8054.399,8054.399,8054.399,8054.399,8054.399,8054.399,0.000
1330,0.100,7466.291,7466.291,7466.291,7466.291,7466.291,7466.291,7466.291,7466.291,7466.291,0.000
1340,0.200,8989.422,8625.406,8625.406,9353.437,9353.437,9353.437,9353.437,9353.437,9353.437,0.000
1350,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1360,0.100,7077.900,7077.900,7077.900,7077.900,7077.900,7077.900,7077.900,7077.900,7077.900,0.000
1370,0.100,7238.440,7238.440,7238.440,7238.440,7238.440,7238.440,7238.440,7238.440,7238.440,0.000
1380,0.100,7257.007,7257.007,7257.007,7257.007,7257.007,7257.007,7257.007,7257.007,7257.007,0.000
1390,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1400,0.200,8790.514,6883.921,6883.921,10697.107,10697.107,10697.107,10697.107,10697.107,10697.107,0.000
1410,0.100,9695.456,9695.456,9695.456,9695.456,9695.456,9695.456,9695.456,9695.456,9695.456,0.000
1420,0.100,10208.630,10208.630,10208.630,10208.630,10208.630,10208.630,10208.630,10208.630,10208.630,0.000
1430,0.200,8032.654,7533.563,7533.563,8531.745,8531.745,8531.745,8531.745,8531.745,8531.745,0.000
1440,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1450,0.200,9398.794,8547.657,8547.657,10249.930,10249.930,10249.930,10249.930,10249.930,10249.930,0.000
1460,0.100,7981.421,7981.421,7981.421,7981.421,7981.421,7981.421,7981.421,7981.421,7981.421,0.000
1470,0.100,10108.980,10108.980,10108.980,10108.980,10108.980,10108.980,10108.980,10108.980,10108.980,0.000
1480,0.200,8900.209,7061.008,7061.008,10739.409,10739.409,10739.409,10739.409,10739.409,10739.409,0.000
1490,0.100,10553.226,10553.226,10553.226,10553.226,10553.226,10553.226,10553.226,10553.226,10553.226,0.000
1500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1510,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
