Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,8774895,8774895,8774895,8774895,8774895,8774895,8774895,8774895,8774895
1,4,4.000,376865,10369967,18218197,13086682,23381700,23381700,23381700,23381700,23381700
2,1,1.000,2717470,2717470,2717470,2717470,2717470,2717470,2717470,2717470,2717470
3,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,1.000,4471879,4471879,4471879,4471879,4471879,4471879,4471879,4471879,4471879
5,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,2,2.000,8364376,8364376,15628307,11996341,15628307,15628307,15628307,15628307,15628307
7,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,1.000,10257573,10257573,10257573,10257573,10257573,10257573,10257573,10257573,10257573
9,1,1.000,5563119,5563119,5563119,5563119,5563119,5563119,5563119,5563119,5563119
10,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,2,2.000,4675625,4675625,56807336,30741480,56807336,56807336,56807336,56807336,56807336
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,2,2.000,3342400,3342400,10028743,6685571,10028743,10028743,10028743,10028743,10028743
16,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,3,3.000,3000838,3000838,5160022,5519690,8398210,8398210,8398210,8398210,8398210
18,1,1.000,2842618,2842618,2842618,2842618,2842618,2842618,2842618,2842618,2842618
19,1,1.000,3630116,3630116,3630116,3630116,3630116,3630116,3630116,3630116,3630116
20,2,2.000,5962472,5962472,8971391,7466931,8971391,8971391,8971391,8971391,8971391
21,1,1.000,3176274,3176274,3176274,3176274,3176274,3176274,3176274,3176274,3176274
22,4,4.000,344401,4479384,6823034,6351165,13757841,13757841,13757841,13757841,13757841
23,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,1,1.000,1775935,1775935,1775935,1775935,1775935,1775935,1775935,1775935,1775935
25,2,2.000,1810651,1810651,4920844,3365747,4920844,4920844,4920844,4920844,4920844
26,5,5.000,2113855,4564404,5659119,12741929,8550171,42822097,42822097,42822097,42822097
27,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,1,1.000,880312,880312,880312,880312,880312,880312,880312,880312,880312
29,4,4.000,452305,3137146,11269374,8015857,17204603,17204603,17204603,17204603,17204603
30,2,2.000,2923550,2923550,9230516,6077033,9230516,9230516,9230516,9230516,9230516
31,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,2,2.000,1507874,1507874,5167647,3337760,5167647,5167647,5167647,5167647,5167647
33,1,1.000,9271717,9271717,9271717,9271717,9271717,9271717,9271717,9271717,9271717
34,2,2.000,3207582,3207582,7746638,5477110,7746638,7746638,7746638,7746638,7746638
35,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,1,1.000,6275039,6275039,6275039,6275039,6275039,6275039,6275039,6275039,6275039
37,2,2.000,2836873,2836873,5478287,4157580,5478287,5478287,5478287,5478287,5478287
38,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,1,1.000,1253755,1253755,1253755,1253755,1253755,1253755,1253755,1253755,1253755
40,2,2.000,2932417,2932417,3390514,3161465,3390514,3390514,3390514,3390514,3390514
41,4,4.000,226750,400989,611743,2512133,8809051,8809051,8809051,8809051,8809051
42,3,3.000,390525,390525,4333354,3082193,4522701,4522701,4522701,4522701,4522701
43,3,3.000,2607283,2607283,4981440,8383467,17561678,17561678,17561678,17561678,17561678
44,1,1.000,48602371,48602371,48602371,48602371,48602371,48602371,48602371,48602371,48602371
45,1,1.000,1539600,1539600,1539600,1539600,1539600,1539600,1539600,1539600,1539600
46,3,3.000,3524091,3524091,7675489,12189103,25367730,25367730,25367730,25367730,25367730
47,1,1.000,841097,841097,841097,841097,841097,841097,841097,841097,841097
48,3,3.000,833846,833846,1172665,2779836,6332998,6332998,6332998,6332998,6332998
49,1,1.000,3273432,3273432,3273432,3273432,3273432,3273432,3273432,3273432,3273432
50,2,2.000,6231754,6231754,7209514,6720634,7209514,7209514,7209514,7209514,7209514
51,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,1,1.000,10191149,10191149,10191149,10191149,10191149,10191149,10191149,10191149,10191149
53,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,1,1.000,8469181,8469181,8469181,8469181,8469181,8469181,8469181,8469181,8469181
55,1,1.000,1678001,1678001,1678001,1678001,1678001,1678001,1678001,1678001,1678001
56,2,2.000,711387,711387,4209735,2460561,4209735,4209735,4209735,4209735,4209735
57,2,2.000,1268208,1268208,14494489,7881348,14494489,14494489,14494489,14494489,14494489
58,1,1.000,1882073,1882073,1882073,1882073,1882073,1882073,1882073,1882073,1882073
59,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,1,1.000,2676908,2676908,2676908,2676908,2676908,2676908,2676908,2676908,2676908
61,2,2.000,4878579,4878579,4941925,4910252,4941925,4941925,4941925,4941925,4941925
62,1,1.000,13669084,13669084,13669084,13669084,13669084,13669084,13669084,13669084,13669084
63,2,2.000,2923532,2923532,20693725,11808628,20693725,20693725,20693725,20693725,20693725
64,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,1,1.000,4872345,4872345,4872345,4872345,4872345,4872345,4872345,4872345,4872345
66,2,2.000,5437654,5437654,14608233,10022943,14608233,14608233,14608233,14608233,14608233
67,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
68,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
