Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.200,4050.707,2696.475,2696.475,5404.939,5404.939,5404.939,5404.939,5404.939,5404.939,0.000
20,0.100,2617.239,2617.239,2617.239,2617.239,2617.239,2617.239,2617.239,2617.239,2617.239,0.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
70,0.200,5312.283,5000.081,5000.081,5624.485,5624.485,5624.485,5624.485,5624.485,5624.485,0.000
80,0.400,4671.273,2577.677,5257.870,5360.079,5489.467,5489.467,5489.467,5489.467,5489.467,0.000
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.200,5611.577,5357.045,5357.045,5866.108,5866.108,5866.108,5866.108,5866.108,5866.108,0.000
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.100,5166.773,5166.773,5166.773,5166.773,5166.773,5166.773,5166.773,5166.773,5166.773,0.000
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.100,6162.854,6162.854,6162.854,6162.854,6162.854,6162.854,6162.854,6162.854,6162.854,0.000
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.100,2833.702,2833.702,2833.702,2833.702,2833.702,2833.702,2833.702,2833.702,2833.702,0.000
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
220,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
230,0.100,2718.616,2718.616,2718.616,2718.616,2718.616,2718.616,2718.616,2718.616,2718.616,0.000
240,0.200,5810.968,5806.223,5806.223,5815.713,5815.713,5815.713,5815.713,5815.713,5815.713,0.000
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.100,4946.661,4946.661,4946.661,4946.661,4946.661,4946.661,4946.661,4946.661,4946.661,0.000
280,0.200,4084.517,2889.578,2889.578,5279.455,5279.455,5279.455,5279.455,5279.455,5279.455,0.000
290,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
310,0.100,5809.302,5809.302,5809.302,5809.302,5809.302,5809.302,5809.302,5809.302,5809.302,0.000
