Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.100,986.053,986.053,986.053,986.053,986.053,986.053,986.053,986.053,986.053,0.001
10,0.100,1019.362,1019.362,1019.362,1019.362,1019.362,1019.362,1019.362,1019.362,1019.362,0.001
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.100,930.241,930.241,930.241,930.241,930.241,930.241,930.241,930.241,930.241,0.001
40,0.100,1013.703,1013.703,1013.703,1013.703,1013.703,1013.703,1013.703,1013.703,1013.703,0.001
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.100,987.373,987.373,987.373,987.373,987.373,987.373,987.373,987.373,987.373,0.001
70,0.100,1002.698,1002.698,1002.698,1002.698,1002.698,1002.698,1002.698,1002.698,1002.698,0.001
80,0.200,971.345,966.326,966.326,976.364,976.364,976.364,976.364,976.364,976.364,0.001
90,0.100,967.333,967.333,967.333,967.333,967.333,967.333,967.333,967.333,967.333,0.001
100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
120,0.100,1035.075,1035.075,1035.075,1035.075,1035.075,1035.075,1035.075,1035.075,1035.075,0.001
130,0.100,985.843,985.843,985.843,985.843,985.843,985.843,985.843,985.843,985.843,0.001
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.200,997.334,997.264,997.264,997.404,997.404,997.404,997.404,997.404,997.404,0.001
170,0.200,1041.794,1028.028,1028.028,1055.560,1055.560,1055.560,1055.560,1055.560,1055.560,0.001
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.100,1075.792,1075.792,1075.792,1075.792,1075.792,1075.792,1075.792,1075.792,1075.792,0.001
200,0.100,1056.960,1056.960,1056.960,1056.960,1056.960,1056.960,1056.960,1056.960,1056.960,0.001
210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
220,0.100,966.438,966.438,966.438,966.438,966.438,966.438,966.438,966.438,966.438,0.001
230,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
240,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
250,0.200,1002.992,1000.655,1000.655,1005.328,1005.328,1005.328,1005.328,1005.328,1005.328,0.001
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
