Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,6409.263,5985.191,5985.191,6833.335,6833.335,6833.335,6833.335,6833.335,6833.335,0.000
10,0.200,5875.535,5846.606,5846.606,5904.464,5904.464,5904.464,5904.464,5904.464,5904.464,0.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.100,5413.596,5413.596,5413.596,5413.596,5413.596,5413.596,5413.596,5413.596,5413.596,0.000
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.100,5472.827,5472.827,5472.827,5472.827,5472.827,5472.827,5472.827,5472.827,5472.827,0.000
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.100,5323.146,5323.146,5323.146,5323.146,5323.146,5323.146,5323.146,5323.146,5323.146,0.000
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.100,5531.735,5531.735,5531.735,5531.735,5531.735,5531.735,5531.735,5531.735,5531.735,0.000
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.100,5204.135,5204.135,5204.135,5204.135,5204.135,5204.135,5204.135,5204.135,5204.135,0.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
180,0.200,5021.399,4947.069,4947.069,5095.728,5095.728,5095.728,5095.728,5095.728,5095.728,0.000
190,0.200,5868.300,5765.239,5765.239,5971.360,5971.360,5971.360,5971.360,5971.360,5971.360,0.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
220,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
230,0.100,5800.885,5800.885,5800.885,5800.885,5800.885,5800.885,5800.885,5800.885,5800.885,0.000
240,0.200,3275.009,651.223,651.223,5898.795,5898.795,5898.795,5898.795,5898.795,5898.795,0.000
250,0.100,5902.958,5902.958,5902.958,5902.958,5902.958,5902.958,5902.958,5902.958,5902.958,0.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,0.100,5777.124,5777.124,5777.124,5777.124,5777.124,5777.124,5777.124,5777.124,5777.124,0.000
290,0.100,5348.498,5348.498,5348.498,5348.498,5348.498,5348.498,5348.498,5348.498,5348.498,0.000
300,0.100,5224.563,5224.563,5224.563,5224.563,5224.563,5224.563,5224.563,5224.563,5224.563,0.000
310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
330,0.300,5435.433,4989.248,4989.248,5221.836,6095.214,6095.214,6095.214,6095.214,6095.214,0.000
340,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
350,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
370,0.200,5796.433,5573.917,5573.917,6018.949,6018.949,6018.949,6018.949,6018.949,6018.949,0.000
380,0.100,5881.973,5881.973,5881.973,5881.973,5881.973,5881.973,5881.973,5881.973,5881.973,0.000
390,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.100,5275.803,5275.803,5275.803,5275.803,5275.803,5275.803,5275.803,5275.803,5275.803,0.000
420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
430,0.100,5233.821,5233.821,5233.821,5233.821,5233.821,5233.821,5233.821,5233.821,5233.821,0.000
440,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
