Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.100,4853.894,4853.894,4853.894,4853.894,4853.894,4853.894,4853.894,4853.894,4853.894,0.000
30,0.100,4820.557,4820.557,4820.557,4820.557,4820.557,4820.557,4820.557,4820.557,4820.557,0.000
40,0.100,4915.603,4915.603,4915.603,4915.603,4915.603,4915.603,4915.603,4915.603,4915.603,0.000
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
70,0.100,4410.042,4410.042,4410.042,4410.042,4410.042,4410.042,4410.042,4410.042,4410.042,0.000
80,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.100,4779.851,4779.851,4779.851,4779.851,4779.851,4779.851,4779.851,4779.851,4779.851,0.000
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
120,0.100,5051.298,5051.298,5051.298,5051.298,5051.298,5051.298,5051.298,5051.298,5051.298,0.000
130,0.100,4855.606,4855.606,4855.606,4855.606,4855.606,4855.606,4855.606,4855.606,4855.606,0.000
140,0.100,4998.338,4998.338,4998.338,4998.338,4998.338,4998.338,4998.338,4998.338,4998.338,0.000
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.100,4544.303,4544.303,4544.303,4544.303,4544.303,4544.303,4544.303,4544.303,4544.303,0.000
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.200,4540.615,4537.559,4537.559,4543.670,4543.670,4543.670,4543.670,4543.670,4543.670,0.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
220,0.200,4705.661,4520.102,4520.102,4891.219,4891.219,4891.219,4891.219,4891.219,4891.219,0.000
230,0.100,4469.657,4469.657,4469.657,4469.657,4469.657,4469.657,4469.657,4469.657,4469.657,0.000
240,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,0.100,4564.039,4564.039,4564.039,4564.039,4564.039,4564.039,4564.039,4564.039,4564.039,0.000
290,0.100,4795.847,4795.847,4795.847,4795.847,4795.847,4795.847,4795.847,4795.847,4795.847,0.000
300,0.100,4961.459,4961.459,4961.459,4961.459,4961.459,4961.459,4961.459,4961.459,4961.459,0.000
310,0.100,5061.048,5061.048,5061.048,5061.048,5061.048,5061.048,5061.048,5061.048,5061.048,0.000
320,0.100,4588.575,4588.575,4588.575,4588.575,4588.575,4588.575,4588.575,4588.575,4588.575,0.000
330,0.200,4655.819,4527.743,4527.743,4783.895,4783.895,4783.895,4783.895,4783.895,4783.895,0.000
340,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
350,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
360,0.100,4861.062,4861.062,4861.062,4861.062,4861.062,4861.062,4861.062,4861.062,4861.062,0.000
370,0.400,4752.370,4524.115,4790.300,4837.906,4857.159,4857.159,4857.159,4857.159,4857.159,0.000
380,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
390,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
430,0.100,4528.702,4528.702,4528.702,4528.702,4528.702,4528.702,4528.702,4528.702,4528.702,0.000
440,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
450,0.200,4363.052,4338.220,4338.220,4387.883,4387.883,4387.883,4387.883,4387.883,4387.883,0.000
460,0.100,4808.831,4808.831,4808.831,4808.831,4808.831,4808.831,4808.831,4808.831,4808.831,0.000
470,0.100,4482.476,4482.476,4482.476,4482.476,4482.476,4482.476,4482.476,4482.476,4482.476,0.000
480,0.100,4488.002,4488.002,4488.002,4488.002,4488.002,4488.002,4488.002,4488.002,4488.002,0.000
490,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
510,0.100,5017.831,5017.831,5017.831,5017.831,5017.831,5017.831,5017.831,5017.831,5017.831,0.000
520,0.100,4538.416,4538.416,4538.416,4538.416,4538.416,4538.416,4538.416,4538.416,4538.416,0.000
530,0.100,4519.371,4519.371,4519.371,4519.371,4519.371,4519.371,4519.371,4519.371,4519.371,0.000
540,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
550,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
560,0.100,5019.744,5019.744,5019.744,5019.744,5019.744,5019.744,5019.744,5019.744,5019.744,0.000
570,0.100,4777.965,4777.965,4777.965,4777.965,4777.965,4777.965,4777.965,4777.965,4777.965,0.000
580,0.100,4897.116,4897.116,4897.116,4897.116,4897.116,4897.116,4897.116,4897.116,4897.116,0.000
590,0.100,4537.268,4537.268,4537.268,4537.268,4537.268,4537.268,4537.268,4537.268,4537.268,0.000
600,0.100,4462.409,4462.409,4462.409,4462.409,4462.409,4462.409,4462.409,4462.409,4462.409,0.000
610,0.100,4912.891,4912.891,4912.891,4912.891,4912.891,4912.891,4912.891,4912.891,4912.891,0.000
620,0.100,4573.113,4573.113,4573.113,4573.113,4573.113,4573.113,4573.113,4573.113,4573.113,0.000
630,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
640,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
650,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
660,0.100,4448.361,4448.361,4448.361,4448.361,4448.361,4448.361,4448.361,4448.361,4448.361,0.000
670,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
680,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
690,0.200,4506.509,4466.469,4466.469,4546.548,4546.548,4546.548,4546.548,4546.548,4546.548,0.000
700,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
710,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
720,0.100,4820.024,4820.024,4820.024,4820.024,4820.024,4820.024,4820.024,4820.024,4820.024,0.000
730,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
740,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
750,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
760,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
770,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
780,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
790,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
800,0.200,4987.747,4965.810,4965.810,5009.684,5009.684,5009.684,5009.684,5009.684,5009.684,0.000
810,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
820,0.100,4421.650,4421.650,4421.650,4421.650,4421.650,4421.650,4421.650,4421.650,4421.650,0.000
830,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
840,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
850,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
860,0.200,4622.591,4495.371,4495.371,4749.810,4749.810,4749.810,4749.810,4749.810,4749.810,0.000
870,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
880,0.100,6174.703,6174.703,6174.703,6174.703,6174.703,6174.703,6174.703,6174.703,6174.703,0.000
890,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
900,0.200,4457.419,4456.486,4456.486,4458.351,4458.351,4458.351,4458.351,4458.351,4458.351,0.000
910,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
920,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
930,0.100,4756.831,4756.831,4756.831,4756.831,4756.831,4756.831,4756.831,4756.831,4756.831,0.000
940,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
950,0.200,4719.164,4430.749,4430.749,5007.579,5007.579,5007.579,5007.579,5007.579,5007.579,0.000
960,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
970,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
980,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
990,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1000,0.100,4742.294,4742.294,4742.294,4742.294,4742.294,4742.294,4742.294,4742.294,4742.294,0.000
1010,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1020,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1030,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1040,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1050,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1060,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1070,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1080,0.100,4543.809,4543.809,4543.809,4543.809,4543.809,4543.809,4543.809,4543.809,4543.809,0.000
1090,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1100,0.100,4488.102,4488.102,4488.102,4488.102,4488.102,4488.102,4488.102,4488.102,4488.102,0.000
1110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1120,0.100,4419.240,4419.240,4419.240,4419.240,4419.240,4419.240,4419.240,4419.240,4419.240,0.000
1130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1140,0.100,4515.056,4515.056,4515.056,4515.056,4515.056,4515.056,4515.056,4515.056,4515.056,0.000
1150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1160,0.200,4796.670,4545.642,4545.642,5047.698,5047.698,5047.698,5047.698,5047.698,5047.698,0.000
1170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1180,0.200,5150.338,4510.350,4510.350,5790.326,5790.326,5790.326,5790.326,5790.326,5790.326,0.000
1190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1200,0.100,4362.986,4362.986,4362.986,4362.986,4362.986,4362.986,4362.986,4362.986,4362.986,0.000
1210,0.100,4524.475,4524.475,4524.475,4524.475,4524.475,4524.475,4524.475,4524.475,4524.475,0.000
1220,0.100,4527.330,4527.330,4527.330,4527.330,4527.330,4527.330,4527.330,4527.330,4527.330,0.000
1230,0.100,4560.957,4560.957,4560.957,4560.957,4560.957,4560.957,4560.957,4560.957,4560.957,0.000
1240,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1260,0.100,4636.724,4636.724,4636.724,4636.724,4636.724,4636.724,4636.724,4636.724,4636.724,0.000
1270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1280,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1290,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1330,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1340,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1350,0.300,5042.932,4528.370,4528.370,4548.378,6052.048,6052.048,6052.048,6052.048,6052.048,0.000
1360,0.100,5970.473,5970.473,5970.473,5970.473,5970.473,5970.473,5970.473,5970.473,5970.473,0.000
1370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1380,0.100,4810.577,4810.577,4810.577,4810.577,4810.577,4810.577,4810.577,4810.577,4810.577,0.000
1390,0.100,5948.612,5948.612,5948.612,5948.612,5948.612,5948.612,5948.612,5948.612,5948.612,0.000
1400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1410,0.100,5855.190,5855.190,5855.190,5855.190,5855.190,5855.190,5855.190,5855.190,5855.190,0.000
1420,0.100,4935.595,4935.595,4935.595,4935.595,4935.595,4935.595,4935.595,4935.595,4935.595,0.000
1430,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1440,0.200,5387.683,4723.756,4723.756,6051.610,6051.610,6051.610,6051.610,6051.610,6051.610,0.000
1450,0.100,4500.721,4500.721,4500.721,4500.721,4500.721,4500.721,4500.721,4500.721,4500.721,0.000
1460,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1470,0.100,4527.018,4527.018,4527.018,4527.018,4527.018,4527.018,4527.018,4527.018,4527.018,0.000
1480,0.100,6002.278,6002.278,6002.278,6002.278,6002.278,6002.278,6002.278,6002.278,6002.278,0.000
1490,0.200,4475.574,4402.916,4402.916,4548.231,4548.231,4548.231,4548.231,4548.231,4548.231,0.000
1500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1510,0.100,4841.212,4841.212,4841.212,4841.212,4841.212,4841.212,4841.212,4841.212,4841.212,0.000
1520,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1530,0.100,5408.938,5408.938,5408.938,5408.938,5408.938,5408.938,5408.938,5408.938,5408.938,0.000
1540,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1550,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1560,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1570,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1580,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1590,0.100,5399.833,5399.833,5399.833,5399.833,5399.833,5399.833,5399.833,5399.833,5399.833,0.000
1600,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1610,0.100,4858.189,4858.189,4858.189,4858.189,4858.189,4858.189,4858.189,4858.189,4858.189,0.000
1620,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1630,0.100,5385.896,5385.896,5385.896,5385.896,5385.896,5385.896,5385.896,5385.896,5385.896,0.000
1640,0.100,5922.161,5922.161,5922.161,5922.161,5922.161,5922.161,5922.161,5922.161,5922.161,0.000
1650,0.300,5431.097,4719.123,4719.123,5558.698,6015.471,6015.471,6015.471,6015.471,6015.471,0.000
1660,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1670,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1680,0.100,4849.128,4849.128,4849.128,4849.128,4849.128,4849.128,4849.128,4849.128,4849.128,0.000
1690,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1700,0.300,5642.398,5480.148,5480.148,5723.144,5723.902,5723.902,5723.902,5723.902,5723.902,0.000
1710,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1720,0.100,5651.239,5651.239,5651.239,5651.239,5651.239,5651.239,5651.239,5651.239,5651.239,0.000
1730,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1740,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1750,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1760,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1770,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1780,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1790,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
