Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.400,6495.056,841.240,2731.722,5848.522,11464.965,11690.159,11958.739,11958.739,11958.739,0.000
10,2.100,6350.176,557.588,1668.446,2762.499,5045.889,10369.026,10517.895,55747.460,55747.460,0.000
20,1.800,10898.711,353.866,1621.603,4154.230,8866.408,58434.283,58866.845,58866.845,58866.845,0.000
30,1.100,6167.402,848.085,1223.003,4144.102,8207.881,11889.225,20876.185,20876.185,20876.185,0.000
40,1.000,9669.928,541.278,1203.190,4915.603,11019.398,55278.471,55278.471,55278.471,55278.471,0.000
50,1.300,8768.302,830.725,2053.169,3526.066,4600.083,21123.618,58689.507,58689.507,58689.507,0.000
60,0.900,7015.767,1148.793,2710.884,4420.086,11163.285,21020.337,21020.337,21020.337,21020.337,0.000
70,1.500,6715.830,348.836,1550.492,3494.686,4521.881,9951.847,55765.104,55765.104,55765.104,0.000
80,1.600,8716.089,344.938,1235.863,4541.088,7695.801,21140.542,58671.992,58671.992,58671.992,0.000
90,1.000,6334.837,351.907,2818.905,4609.177,9950.264,21207.601,21207.601,21207.601,21207.601,0.000
100,1.200,9045.711,520.550,1043.968,2730.345,8193.110,22860.518,58450.754,58450.754,58450.754,0.000
110,1.600,8238.275,538.109,1179.293,1664.542,11890.997,20979.688,55495.413,55495.413,55495.413,0.000
120,0.800,6152.849,529.149,2725.087,5051.298,11867.382,11897.133,11897.133,11897.133,11897.133,0.000
130,1.400,7279.204,350.391,1520.247,3494.887,5414.404,11135.599,55655.784,55655.784,55655.784,0.000
140,1.100,7993.732,2814.452,2955.503,5401.515,11280.304,11349.562,23212.196,23212.196,23212.196,0.000
150,1.000,7472.298,1060.033,2889.968,8002.052,10537.055,21083.863,21083.863,21083.863,21083.863,0.000
160,1.400,12036.816,341.345,995.022,4722.238,10974.162,55762.083,59527.563,59527.563,59527.563,0.000
170,1.200,10613.688,1172.839,2739.588,4544.303,11929.885,21155.560,58684.326,58684.326,58684.326,0.000
180,0.600,9734.327,352.981,5369.911,10514.645,11885.245,22603.827,22603.827,22603.827,22603.827,0.000
190,1.400,4561.150,567.179,2000.734,2745.980,4543.670,11853.933,12112.140,12112.140,12112.140,0.000
200,1.100,11326.228,590.209,1657.376,3514.854,11829.245,21559.960,58835.936,58835.936,58835.936,0.000
210,1.100,8612.001,830.844,1163.712,4155.235,4650.898,11860.534,59168.150,59168.150,59168.150,0.000
220,1.800,5302.333,353.528,1965.727,4709.207,5963.312,11823.359,21283.073,21283.073,21283.073,0.000
230,1.400,12829.817,342.080,1165.645,4469.657,11865.037,56057.839,58578.023,58578.023,58578.023,0.000
240,1.000,9046.171,824.730,1037.346,4046.440,5624.908,58036.117,58036.117,58036.117,58036.117,0.000
250,1.000,9586.019,530.712,1035.455,5710.470,7911.524,55377.938,55377.938,55377.938,55377.938,0.000
