Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1,1.000,11660273,11660273,11660273,11660273,11660273,11660273,11660273,11660273,11660273
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,2.000,2080001,2080001,2766730,2423365,2766730,2766730,2766730,2766730,2766730
3,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,3,3.000,1546320,1546320,5848522,5896323,10294127,10294127,10294127,10294127,10294127
5,3,3.000,2731722,2731722,2746913,5812458,11958739,11958739,11958739,11958739,11958739
6,1,1.000,11464965,11464965,11464965,11464965,11464965,11464965,11464965,11464965,11464965
7,1,1.000,11690159,11690159,11690159,11690159,11690159,11690159,11690159,11690159,11690159
8,2,2.000,841240,841240,10533583,5687411,10533583,10533583,10533583,10533583,10533583
9,1,1.000,4767496,4767496,4767496,4767496,4767496,4767496,4767496,4767496,4767496
10,1,1.000,5045889,5045889,5045889,5045889,5045889,5045889,5045889,5045889,5045889
11,1,1.000,1668446,1668446,1668446,1668446,1668446,1668446,1668446,1668446,1668446
12,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,2,2.000,985224,985224,2762499,1873861,2762499,2762499,2762499,2762499,2762499
14,3,3.000,4116566,4116566,4175579,21346535,55747460,55747460,55747460,55747460,55747460
15,1,1.000,2877808,2877808,2877808,2877808,2877808,2877808,2877808,2877808,2877808
16,1,1.000,2075979,2075979,2075979,2075979,2075979,2075979,2075979,2075979,2075979
17,2,2.000,2022100,2022100,3293896,2657998,3293896,3293896,3293896,3293896,3293896
18,5,5.000,1045184,2736475,2757545,5485225,10369026,10517895,10517895,10517895,10517895
19,5,5.000,557588,656338,1505834,4231225,8419286,10017082,10017082,10017082,10017082
20,1,1.000,2902223,2902223,2902223,2902223,2902223,2902223,2902223,2902223,2902223
21,3,3.000,5407354,5407354,5836158,23225931,58434283,58434283,58434283,58434283,58434283
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,1,1.000,3270317,3270317,3270317,3270317,3270317,3270317,3270317,3270317,3270317
24,2,2.000,353866,353866,4154230,2254048,4154230,4154230,4154230,4154230,4154230
25,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,1,1.000,8866408,8866408,8866408,8866408,8866408,8866408,8866408,8866408,8866408
27,2,2.000,1032841,1032841,11796503,6414672,11796503,11796503,11796503,11796503,11796503
28,3,3.000,354990,354990,3522661,20914832,58866845,58866845,58866845,58866845,58866845
29,5,5.000,354868,1621603,3186457,6275624,4853894,21361300,21361300,21361300,21361300
30,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,1,1.000,1006462,1006462,1006462,1006462,1006462,1006462,1006462,1006462,1006462
32,3,3.000,848085,848085,4820557,5852622,11889225,11889225,11889225,11889225,11889225
33,1,1.000,8207881,8207881,8207881,8207881,8207881,8207881,8207881,8207881,8207881
34,1,1.000,2725208,2725208,2725208,2725208,2725208,2725208,2725208,2725208,2725208
35,1,1.000,20876185,20876185,20876185,20876185,20876185,20876185,20876185,20876185,20876185
36,2,2.000,1223003,1223003,3947161,2585082,3947161,3947161,3947161,3947161,3947161
37,1,1.000,8153557,8153557,8153557,8153557,8153557,8153557,8153557,8153557,8153557
38,1,1.000,4144102,4144102,4144102,4144102,4144102,4144102,4144102,4144102,4144102
39,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,1,1.000,1687555,1687555,1687555,1687555,1687555,1687555,1687555,1687555,1687555
41,1,1.000,11758271,11758271,11758271,11758271,11758271,11758271,11758271,11758271,11758271
42,2,2.000,541278,541278,3514994,2028136,3514994,3514994,3514994,3514994,3514994
43,1,1.000,55278471,55278471,55278471,55278471,55278471,55278471,55278471,55278471,55278471
44,1,1.000,1203190,1203190,1203190,1203190,1203190,1203190,1203190,1203190,1203190
45,1,1.000,1173520,1173520,1173520,1173520,1173520,1173520,1173520,1173520,1173520
46,3,3.000,4915603,4915603,5607002,7180667,11019398,11019398,11019398,11019398,11019398
47,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,2,2.000,830725,830725,58689507,29760116,58689507,58689507,58689507,58689507,58689507
52,2,2.000,3526066,3526066,5352532,4439299,5352532,5352532,5352532,5352532,5352532
